Document,Label
"I use plastic , and cotton too .",1
"I like hamsters , except ducks .",0
I like essays more than comedies .,1
"I like clothes , but not socks .",1
"He trusts rumors , but not his touch .",1
"I like restaurants , except waiters .",0
I like furniture more than beds .,0
"I like animals , and birches too .",1
I like workers more than schools .,1
"I do not like handbags , I prefer earrings .",1
"I like caviar , except beef .",0
"I like pork , but not carrots .",1
"I like rings , but not glasses .",1
"I like books , except films .",0
"I like dogs , but not pets .",0
"I do not like shoes , I prefer bracelets .",1
"I like oaks , except animals .",0
"I do not like movies , I prefer videogames .",1
"I do not like animals , I prefer pines .",1
I like rabbits more than giraffes .,1
He likes calculations more than fear .,1
I like ships more than enduros .,1
"I like workers , and professors too .",0
I like Merlot more than sprite .,1
"I like grass , but not birches .",1
I like seafood more than veal .,1
"I like turkey , but not salmon .",1
"I do not like parrots , I prefer bulldogs .",1
"I like bacon , except broccoli .",0
I like janitors more than geneticists .,1
I like wardrobes more than cutlery .,1
He likes fear more than emotions .,0
"I like pigs , but not parrots .",1
I use PVC more than glass .,1
"I like Chardonnay , but not sprite .",1
I like grass more than oaks .,1
"I use plastic , and leather too .",1
"I like films , except textbooks .",0
"I do not like dogs , I prefer huskies .",0
"I like pines , and grass too .",1
I like music more than handbooks .,1
"I like novels , but not books .",0
"I like boardgames , but not documentaries .",1
I like scientists more than janitors .,1
"I do not like waiters , I prefer offices .",1
"I like music , except jewelry .",0
"I like beagles , and hamsters too .",1
I like bracelets more than jewelry .,0
I like techno more than food .,1
"I like motorcycles , except Suzukis .",0
"I use vinyl , except plastic .",0
I like parrots more than beagles .,1
"I like shoes , except socks .",0
"I like planes , but not Kawasakis .",1
"I like oysters , and beef too .",1
"I use PVC , but not plastic .",0
"I met geneticists , and caretakers too .",1
I like sparrows more than birds .,0
"I like enduros , but not airplanes .",1
"I like animals , and pines too .",1
I like bushes more than birches .,1
"I do not like crabs , I prefer chicken .",1
I like caviar more than turkey .,1
I like pines more than shrubs .,1
"I like veal , but not salmon .",1
"I like paintings , except novels .",0
"I like dogs , except bobtails .",1
"I like professors , but not workers .",0
I like earrings more than scarfs .,1
"I like westerns , and textbooks too .",1
I like trains more than Suzukis .,1
"I like beds , and parquet too .",1
"I do not like nylon , I prefer leather .",1
"I like boardgames , and techno too .",1
"I do not like novels , I prefer paintings .",1
"He likes fear , but not calculations .",1
"I like Chardonnay , except wine .",0
"I do not like glass , I prefer vinyl .",1
"I like music , except novels .",0
"I like earrings , and skirts too .",1
"I like hamsters , but not beagles .",1
"I like birds , but not blackbirds .",1
"I do not like wood , I prefer vinyl .",1
"I like clothes , except earrings .",0
"I like motorcycles , but not Suzukis .",1
"I do not like cats , I prefer bears .",1
I like planes more than Kawasakis .,1
"I like furniture , but not paintings .",1
"I met biologists , and clerks too .",1
"I like Zinfandel , but not sprite .",1
I like beagles more than dogs .,0
"I do not like vinyl , I prefer wood .",1
I like bulldogs more than dogs .,0
"I like essays , and paintings too .",1
"I do not like blues , I prefer food .",1
"I like trousers , but not clothes .",0
"I like essays , and films too .",1
"I like oysters , and chicken too .",1
I like trousers more than jewelry .,1
"I like bulldogs , but not hamsters .",1
"I like crabs , and veal too .",1
"I like parquet , except wardrobes .",0
"I do not like enduros , I prefer motorcycles .",0
I like necklaces more than jewelry .,0
"I do not like pines , I prefer grass .",1
"I like jewelry , except handbags .",0
"I like pigs , and ducks too .",1
"I like caviar , but not seafood .",0
"I like wardrobes , and cutlery too .",1
"I do not like socks , I prefer clothes .",0
He trusts his senses more than reports .,1
"I do not like dogs , I prefer beagles .",0
"I like blackbirds , except birds .",0
"I like rock , except music .",0
"I like firs , except grass .",0
I like beef more than oysters .,1
I like glasses more than necklaces .,1
I like oysters more than veal .,1
"I like seafood , except salmon .",1
"He trusts reconstructions , but not his taste .",1
"I do not like cartoons , I prefer novels .",1
"I like cats , except whales .",0
I like geneticists more than waiters .,1
"I like music , except boardgames .",0
"I like enduros , except bicycles .",0
"I do not like workers , I prefer caretakers .",0
"I do not like beef , I prefer crabs .",1
"I do not like pets , I prefer socks .",1
I like Chardonnay more than water .,1
"I like seafood , and chicken too .",1
"I do not like films , I prefer essays .",1
"I use nylon , and plastic too .",0
"I like jellyfish , except rabbits .",0
"I like Kawasakis , but not ships .",1
I like pork more than prosciutto .,0
"I like essays , but not books .",0
"I do not like furniture , I prefer wardrobes .",0
"I like clothes , but not earrings .",1
"I like Chianti , but not beer .",1
"I like essays , and cartoons too .",1
I like essays more than documentaries .,1
"I like cats , but not pets .",0
"I do not like wine , I prefer sprite .",1
"I do not like workers , I prefer clerks .",0
"I like wine , except Chianti .",1
"I like Chianti , except beer .",0
"I like books , but not handbooks .",1
"I like caretakers , but not workers .",0
I like cutlery more than tables .,1
He likes calculations more than love .,1
"I like ducks , but not birds .",0
"I do not like schools , I prefer caretakers .",1
"I like techno , but not jewelry .",1
"I like turkey , but not crabs .",1
"I like veal , but not crabs .",1
"I like Zinfandel , except wine .",0
"I like movies , but not documentaries .",1
"I like wardrobes , and paintings too .",1
"I like pets , and trousers too .",1
I like hamsters more than bears .,1
"He does not like love , he prefers calculations .",1
"I like shirts , except glasses .",0
"I like glasses , and shirts too .",1
I like salmon more than chicken .,1
"He likes emotions , but not stupidity .",1
"I like offices , except caretakers .",0
I use plastic more than cotton .,1
"I do not like clothes , I prefer earrings .",1
"I do not like clothes , I prefer socks .",0
"I like wine , except beer .",0
"He likes stupidity , except love .",0
"I like tables , and wallpaper too .",1
"I do not like caviar , I prefer veal .",1
"I like cats , except sparrows .",0
"I like sprite , but not Chianti .",1
I like pets more than rabbits .,0
I like restaurants more than clerks .,1
"I like motorcycles , except enduros .",0
"I met geneticists , and janitors too .",1
I like jewelry more than glasses .,1
"I do not like jewelry , I prefer jazz .",1
"I do not like animals , I prefer birches .",1
"I like hamsters , and whales too .",1
"I like factories , except professors .",0
"He trusts guesses , and his sight too .",1
"I like schools , except caretakers .",0
"I like beer , except Merlot .",0
"I like water , and Merlot too .",1
I like cats more than jellyfish .,1
"I like chairs , but not cutlery .",1
"I do not like boardgames , I prefer rock .",1
"I like movies , except comedies .",1
I like motorcycles more than airplanes .,1
"I like prosciutto , but not carrots .",1
"I like prosciutto , but not broccoli .",1
"He likes logic , and joy too .",1
"I like essays , but not westerns .",1
"I like restaurants , except professors .",0
"I like caretakers , except workers .",0
I like fish more than prosciutto .,1
"I like coca-cola , except Chianti .",0
"I met scientists , except caretakers .",0
"He does not like fear , he prefers calculations .",1
"I do not like rabbits , I prefer beagles .",1
"He likes love , except logic .",0
"I like blues , and music too .",0
"I like shirts , but not glasses .",1
"I like Chardonnay , and sprite too .",1
"I like essays , but not cartoons .",1
He likes emotions more than calculations .,1
"I like birds , but not ducks .",1
"I do not like hamsters , I prefer huskies .",1
"I like paintings , and wardrobes too .",1
"I like trees , but not animals .",1
I like janitors more than astronomers .,1
"I use polyester , but not cotton .",1
I like sprite more than Chardonnay .,1
"I use polyester , and leather too .",1
"I like clerks , and workers too .",0
"I like bacon , except fish .",0
He likes love more than calculations .,1
"I like bobtails , and cats too .",1
"I like professors , but not schools .",1
I like clerks more than geneticists .,1
"I like pork , and carrots too .",1
"I met astronomers , but not clerks .",1
He trusts his senses more than his hearing .,0
"I use nylon , and cotton too .",1
"He trusts reports , but not his sight .",1
He trusts his senses more than his taste .,0
"I like shrubs , except oaks .",0
"I like ducks , and hamsters too .",1
"He trusts his senses , but not reports .",1
"I like huskies , and hamsters too .",1
"I do not like plastic , I prefer nylon .",0
"I like paintings , and textbooks too .",1
"I like Zinfandel , and coca-cola too .",1
I like necklaces more than shoes .,1
"I met janitors , and astronomers too .",1
"I like skirts , except earrings .",0
"I do not like chairs , I prefer cutlery .",1
"He likes sadness , but not wisdom .",1
I like cartoons more than essays .,1
"I like food , but not techno .",1
I like music more than jewelry .,1
"I do not like grass , I prefer oaks .",1
"I like bulldogs , but not dogs .",0
"I like water , but not Chardonnay .",1
"I like seafood , and turkey too .",1
"I like firs , except animals .",0
I like jewelry more than techno .,1
"He trusts his touch , but not reconstructions .",1
I use plastic more than glass .,1
"I like scarfs , and rings too .",1
"I like beef , except salmon .",0
"I do not like wallpaper , I prefer chairs .",1
I like shirts more than glasses .,1
"He trusts his sight , and his senses too .",0
"I do not like waiters , I prefer geneticists .",1
"He likes calculations , but not love .",1
"I like cats , and pets too .",0
"I like ducks , and pigs too .",1
"I like crabs , but not seafood .",0
I like motorcycles more than Suzukis .,0
"I met geneticists , except waiters .",0
"I do not like plastic , I prefer glass .",1
"I do not like sports , I prefer techno .",1
"I do not like restaurants , I prefer caretakers .",1
"I like rabbits , but not jellyfish .",1
I like Zinfandel more than wine .,0
"He likes joy , but not stupidity .",1
"I do not like cats , I prefer parrots .",1
"He trusts reconstructions , except his hearing .",0
"I like caviar , except chicken .",0
I like whales more than cats .,1
"I use cotton , but not nylon .",1
"I do not like jewelry , I prefer handbags .",1
I like comedies more than videogames .,1
I like glasses more than shirts .,1
"I met astronomers , and clerks too .",1
"I do not like Kawasakis , I prefer bicycles .",1
"He likes logic , and fear too .",1
He trusts guesses more than his touch .,1
"I like Kawasakis , and bicycles too .",1
He trusts his sight more than reconstructions .,1
"I like boardgames , except jazz .",0
"I like jewelry , except necklaces .",1
"I like dogs , except giraffes .",0
"I like chicken , but not crabs .",1
"I like dogs , but not huskies .",1
"I like blues , except music .",0
I like veal more than crabs .,1
"He likes love , but not calculations .",1
I like astronomers more than janitors .,1
"I do not like professors , I prefer restaurants .",1
I use PVC more than plastic .,0
"I like paintings , except tables .",0
"I like cats , but not bulldogs .",1
I like pigs more than parrots .,1
"I like westerns , but not movies .",0
"I like Zinfandel , but not beer .",1
"I do not like astronomers , I prefer scientists .",0
"I like jewelry , but not jazz .",1
"I like hamsters , and bears too .",1
"I use plastic , except nylon .",1
I use vinyl more than wood .,1
"I like wine , and sprite too .",1
"I like trees , and bushes too .",1
"I like shoes , but not trousers .",1
"I like dogs , and sparrows too .",1
"I like animals , but not birches .",1
"I like seafood , and oysters too .",0
"I like pork , but not ham .",1
"I like pork , and fish too .",1
"I like bicycles , and Kawasakis too .",1
"I do not like jewelry , I prefer glasses .",1
"He likes love , and emotions too .",0
"I do not like ducks , I prefer cats .",1
"I like bobtails , but not dogs .",0
"I like waiters , and factories too .",1
"I do not like plastic , I prefer leather .",1
"I like pork , and ham too .",0
"I like Merlot , except sprite .",0
"He trusts his touch , but not reports .",1
"I like food , and techno too .",1
"I like Zinfandel , and sprite too .",1
"I like Chardonnay , but not coca-cola .",1
"I like prosciutto , and broccoli too .",1
"I do not like music , I prefer food .",1
I like wallpaper more than chairs .,1
"I like oysters , and seafood too .",0
"I like jellyfish , but not hamsters .",1
I like crabs more than turkey .,1
"I like workers , but not clerks .",1
"I like sparrows , but not dogs .",1
"I like ducks , and birds too .",0
"I do not like clerks , I prefer schools .",1
"I do not like bobtails , I prefer rabbits .",1
"I like bears , but not cats .",1
I like rabbits more than bears .,1
"I like parrots , but not dogs .",1
"I like salmon , but not seafood .",0
I like bracelets more than shoes .,1
"I like textbooks , but not comedies .",1
I like turkey more than salmon .,1
"He likes logic , but not joy .",1
"I like firs , and bushes too .",1
I like geneticists more than clerks .,1
"I do not like oaks , I prefer grass .",1
"I do not like workers , I prefer restaurants .",1
"I like rabbits , except huskies .",0
"I like wine , except sprite .",0
He trusts his hearing more than rumors .,1
"I do not like wood , I prefer nylon .",1
I like shoes more than earrings .,1
I like movies more than textbooks .,1
"I like films , except handbooks .",0
I like jellyfish more than dogs .,1
"I do not like coca-cola , I prefer Chardonnay .",1
"I like tables , but not wallpaper .",1
"He likes wisdom , but not sadness .",1
I like turkey more than oysters .,1
"I do not like jewelry , I prefer trousers .",1
"He likes emotions , but not love .",1
"I like cats , but not bears .",1
"He does not like fear , he prefers emotions .",0
"I like hamsters , and jellyfish too .",1
"I like enduros , but not motorcycles .",0
"He likes joy , and logic too .",1
"I do not like Suzukis , I prefer ships .",1
"I like pigs , except blackbirds .",0
"I like parrots , except bulldogs .",0
"I like trees , except animals .",0
"I like rabbits , and beagles too .",1
"I like beef , and oysters too .",1
"I like birches , but not animals .",1
"I like paintings , except chairs .",0
"I like wallpaper , and chairs too .",1
"I like jewelry , but not glasses .",1
"I like textbooks , but not westerns .",1
I like music more than food .,1
"I like jazz , but not food .",1
"I like pork , and lard too .",0
"I use PVC , except cotton .",0
"I do not like paintings , I prefer handbooks .",1
"I do not like wardrobes , I prefer wallpaper .",1
"I like documentaries , except boardgames .",0
"I like water , but not Zinfandel .",1
"He trusts his sight , and reports too .",1
I like workers more than restaurants .,1
"He trusts his sight , but not reconstructions .",1
"I like motorcycles , and Kawasakis too .",0
"I do not like handbags , I prefer necklaces .",1
"I use polyester , except leather .",0
"I like beds , and wallpaper too .",1
I like rings more than scarfs .,1
He trusts his taste more than guesses .,1
"I like workers , and factories too .",1
"I like pork , but not prosciutto .",1
I like skirts more than earrings .,1
"I like cats , and whales too .",1
"I like trains , except Harley-Davidson .",0
"I like Kawasakis , except airplanes .",0
"I like rings , except scarfs .",0
"I do not like wine , I prefer Zinfandel .",0
"I do not like broccoli , I prefer lard .",1
He trusts his taste more than reports .,1
I like trains more than Harley-Davidson .,1
"I do not like rings , I prefer jewelry .",0
"I like cats , but not blackbirds .",1
"I do not like Zinfandel , I prefer coca-cola .",1
I like hamsters more than bulldogs .,1
"He does not like wisdom , he prefers fear .",1
"I like textbooks , but not thrillers .",1
I like birds more than sparrows .,0
"I like videogames , and thrillers too .",1
"I do not like parrots , I prefer pigs .",1
"I do not like rabbits , I prefer bulldogs .",1
"I like handbooks , except films .",0
"I like factories , but not clerks .",1
"He trusts his touch , and reports too .",1
I like trees more than pines .,0
"I do not like polyester , I prefer cotton .",1
"He trusts his taste , and reconstructions too .",1
"I met geneticists , and scientists too .",0
I like clothes more than earrings .,1
I like pork more than apples .,1
"I like food , and rock too .",1
"I like Zinfandel , but not coca-cola .",1
"He trusts his senses , and guesses too .",1
"I do not like blues , I prefer sports .",1
"I like skirts , and glasses too .",1
"I do not like trousers , I prefer clothes .",0
I like tables more than parquet .,1
"I like rock , but not sports .",1
"I like pets , and hamsters too .",0
"I met physicists , except janitors .",0
"I like apples , and prosciutto too .",1
"I do not like prosciutto , I prefer pork .",0
"I like cats , and huskies too .",1
"I like rock , and jewelry too .",1
"I like jellyfish , and dogs too .",1
"I like carrots , except lard .",0
I like cartoons more than novels .,1
I like bulldogs more than parrots .,1
"I met astronomers , but not caretakers .",1
"I like dogs , and rabbits too .",1
"He does not like stupidity , he prefers sadness .",1
"I like earrings , but not socks .",1
"I do not like tables , I prefer wallpaper .",1
"I like Suzukis , except ships .",0
"I like workers , but not caretakers .",1
"I like animals , and oaks too .",1
I like Chianti more than beer .,1
"I do not like chairs , I prefer wallpaper .",1
"I like water , and Chianti too .",1
"I do not like blues , I prefer boardgames .",1
"I like bobtails , and hamsters too .",1
"I like clothes , and pets too .",1
"He trusts guesses , but not his hearing .",1
He trusts his touch more than his senses .,0
I use polyester more than wood .,1
"I like ham , and carrots too .",1
"I do not like seafood , I prefer beef .",1
I like shirts more than earrings .,1
"I like hamsters , but not bobtails .",1
"He likes calculations , and joy too .",1
"I like offices , and caretakers too .",1
"He likes logic , but not sadness .",1
"I met scientists , and geneticists too .",0
I like waiters more than offices .,1
"I like dogs , but not blackbirds .",1
I like janitors more than physicists .,1
"I like professors , and restaurants too .",1
"I use cotton , except PVC .",0
"I like cartoons , except handbooks .",0
"I like bobtails , but not cats .",1
"I like books , but not paintings .",1
"I like rabbits , and huskies too .",1
I like movies more than westerns .,0
"He does not like calculations , he prefers love .",1
"I like bobtails , and rabbits too .",1
"I use leather , and vinyl too .",1
"I do not like ships , I prefer enduros .",1
"I do not like jazz , I prefer food .",1
"I like Merlot , and wine too .",0
"I do not like birches , I prefer shrubs .",1
I like bulldogs more than hamsters .,1
"He trusts his hearing , but not rumors .",1
"He trusts reports , and his touch too .",1
"I like boardgames , and thrillers too .",1
"He likes emotions , but not joy .",1
"I like turkey , and crabs too .",1
I like cats more than pets .,0
"I do not like apples , I prefer bacon .",1
"I like Merlot , except water .",0
"I like trousers , and earrings too .",1
I like videogames more than westerns .,1
I like clerks more than schools .,1
"I like seafood , except turkey .",0
"I like films , but not handbooks .",1
"I like prosciutto , except carrots .",0
"I met scientists , but not caretakers .",1
"I like pork , except apples .",0
I like seafood more than turkey .,1
"I like rings , and shoes too .",1
"I do not like furniture , I prefer paintings .",1
"I like caretakers , except restaurants .",0
"I use PVC , except wood .",0
I like enduros more than trains .,1
"I like apples , except bacon .",0
"I like oaks , but not bushes .",1
"I like textbooks , and books too .",0
I like rock more than food .,1
"I like pigs , except ducks .",0
"I like bulldogs , except cats .",0
"I like waiters , and restaurants too .",1
"I like bears , except rabbits .",0
I like jazz more than boardgames .,1
"I like socks , except earrings .",0
"I like chicken , except oysters .",0
"I like music , and novels too .",1
I like water more than Chardonnay .,1
"I like jewelry , and glasses too .",1
"I do not like pork , I prefer fish .",1
"I like clerks , except offices .",0
"I like waiters , except restaurants .",0
I like jewelry more than bracelets .,0
"I like blues , and jewelry too .",1
"I like beagles , and dogs too .",0
"He trusts reconstructions , and his touch too .",1
"I like hamsters , but not whales .",1
"I like tables , and cutlery too .",1
I like clerks more than factories .,1
"I like professors , except offices .",0
"I like Kawasakis , and ships too .",1
"I like lard , but not fish .",1
"I like parquet , but not beds .",1
"I like hamsters , but not bears .",1
I like paintings more than handbooks .,1
"I do not like socks , I prefer jewelry .",1
"I use plastic , and nylon too .",0
I like music more than rock .,0
"I like necklaces , and handbags too .",1
I use vinyl more than cotton .,1
I like furniture more than cutlery .,1
I like paintings more than wardrobes .,1
"I like necklaces , except handbags .",0
I like workers more than caretakers .,0
He trusts reconstructions more than his sight .,1
"I like trousers , and glasses too .",1
"I do not like westerns , I prefer essays .",1
I like sprite more than Chianti .,1
"I do not like music , I prefer rock .",0
"I do not like scarfs , I prefer earrings .",1
I like cartoons more than handbooks .,1
"I like oaks , and shrubs too .",1
"I do not like textbooks , I prefer westerns .",1
"He does not like sadness , he prefers wisdom .",1
"I like rings , and handbags too .",1
I like earrings more than handbags .,1
"I like waiters , but not workers .",0
"I like scarfs , but not bracelets .",1
"I like handbooks , but not music .",1
"I do not like bacon , I prefer carrots .",1
"I do not like bulldogs , I prefer cats .",1
I like trousers more than earrings .,1
"I do not like huskies , I prefer rabbits .",1
"I use plastic , except polyester .",1
"I do not like necklaces , I prefer handbags .",1
"I like comedies , except videogames .",0
"I like salmon , and seafood too .",0
I like offices more than clerks .,1
"I like shoes , except trousers .",0
"I do not like clerks , I prefer geneticists .",1
"I like shoes , and earrings too .",1
"I do not like dogs , I prefer ducks .",1
I like Zinfandel more than water .,1
I like veal more than caviar .,1
"I like pork , except bacon .",1
"I like necklaces , and glasses too .",1
"He likes joy , except wisdom .",0
"I like oaks , and trees too .",0
He trusts his senses more than rumors .,1
"I like trees , but not firs .",1
"I use leather , but not nylon .",1
"I like blues , except jewelry .",0
"I like westerns , except videogames .",0
"I do not like apples , I prefer ham .",1
I like oaks more than shrubs .,1
"I do not like trousers , I prefer pets .",1
I like geneticists more than scientists .,0
I like pets more than bears .,1
"I do not like essays , I prefer westerns .",1
"I like oaks , and bushes too .",1
"I like jewelry , but not skirts .",1
"I like techno , but not sports .",1
"I do not like coca-cola , I prefer Merlot .",1
"I like jazz , except music .",0
"I do not like Zinfandel , I prefer sprite .",1
"I like schools , and clerks too .",1
"I do not like leather , I prefer nylon .",1
"He does not like calculations , he prefers fear .",1
"I like rabbits , and bobtails too .",1
"He trusts his senses , but not his hearing .",1
"I like furniture , but not parquet .",1
"I like ducks , but not pigs .",1
"He likes wisdom , except love .",0
"He trusts reports , and his hearing too .",1
"I like parrots , and dogs too .",1
"I do not like novels , I prefer music .",1
"I like crabs , but not beef .",1
"He likes emotions , but not fear .",1
I like pets more than shirts .,1
"I do not like pets , I prefer rabbits .",0
"I like giraffes , and cats too .",1
"I like lard , and broccoli too .",1
"I use PVC , except glass .",0
"I like beds , except furniture .",0
"I do not like bobtails , I prefer parrots .",1
"I like thrillers , and textbooks too .",1
"I like wallpaper , except beds .",0
"I do not like salmon , I prefer turkey .",1
"I do not like cats , I prefer blackbirds .",1
"He does not like fear , he prefers stupidity .",1
I like movies more than comedies .,0
I like westerns more than essays .,1
"I do not like cats , I prefer sparrows .",1
"I do not like chicken , I prefer salmon .",1
"I met physicists , and janitors too .",1
"I like grass , except birches .",0
"I like glasses , but not socks .",1
"I like ships , except Suzukis .",0
"I like caretakers , but not restaurants .",1
"I use cotton , except polyester .",0
I like comedies more than movies .,0
I like rings more than jewelry .,0
"I like parrots , but not birds .",0
"I like clothes , and trousers too .",0
"I like documentaries , and essays too .",1
"I like Chianti , and water too .",1
"I do not like earrings , I prefer glasses .",1
"I like parrots , and beagles too .",1
"I use wood , but not vinyl .",1
"I like crabs , and seafood too .",0
"He likes fear , but not emotions .",0
I like Chardonnay more than sprite .,1
I like trees more than firs .,0
I like jewelry more than handbags .,1
"I like pets , except bears .",0
I like glasses more than trousers .,1
"I like parrots , except huskies .",0
"I do not like essays , I prefer paintings .",1
"I do not like salmon , I prefer seafood .",0
I like offices more than waiters .,1
I like scientists more than waiters .,1
"He trusts his sight , but not rumors .",1
"I do not like firs , I prefer grass .",1
I use nylon more than leather .,1
I like ducks more than birds .,0
"I like motorcycles , and ships too .",1
I like wardrobes more than furniture .,0
"I like rings , except shoes .",0
"I like carrots , but not lard .",1
"I like cartoons , and textbooks too .",1
I use plastic more than nylon .,0
"I like hamsters , except parrots .",0
"I like coca-cola , but not Chianti .",1
"I like glasses , but not bracelets .",1
I like huskies more than hamsters .,1
"I do not like cotton , I prefer PVC .",1
I use nylon more than glass .,1
I use cotton more than PVC .,1
"I do not like bacon , I prefer fish .",1
"I like rabbits , and jellyfish too .",1
"I like comedies , but not essays .",1
"I do not like bacon , I prefer pork .",0
"I like textbooks , and thrillers too .",1
"I do not like astronomers , I prefer waiters .",1
"I like offices , but not clerks .",1
